Carrier,Servicio,Origen,Destino,Full x Cont,Sencillo,Horas libres,Remarks,Vigencia,Unnamed: 0
CGC,Roundtrip,Manzanillo,CDMX,28000.0,36000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
CGC,Roundtrip,Manzanillo,Puebla,35000.0,20000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
CGC,Roundtrip,Manzanillo,Monterrey,40000.0,35000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
CGC,Roundtrip,Manzanillo,Guadalajara,13000.0,18000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
CGC,Roundtrip,Manzanillo,Queretaro,21000.0,32000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
CGC,Roundtrip,Manzanillo,Ensenada,70000.0,80000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
CGC,Roundtrip,Manzanillo,Siloa,25000.0,30000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
CGC,Roundtrip,Manzanillo,Cuernavaca,22000.0,24000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
T. Mundiales,Roundtrip,Altamira,CDMX,23500.0,36000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
T. Mundiales,Roundtrip,Altamira,Puebla,24000.0,26000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
T. Mundiales,Roundtrip,Altamira,Monterrey,60000.0,70000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
T. Mundiales,Roundtrip,Altamira,Guadalajara,44000.0,56000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
T. Mundiales,Roundtrip,Altamira,Queretaro,28000.0,39000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
T. Mundiales,Roundtrip,Altamira,Ensenada,76000.0,86000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
T. Mundiales,Roundtrip,Altamira,Siloa,27000.0,32000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
T. Mundiales,Roundtrip,Altamira,Cuernavaca,30500.0,33000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Fisa,Roundtrip,Veracruz,CDMX,17500.0,30000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Fisa,Roundtrip,Veracruz,Puebla,18000.0,20000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Fisa,Roundtrip,Veracruz,Monterrey,54000.0,64000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Fisa,Roundtrip,Veracruz,Guadalajara,38000.0,50000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Fisa,Roundtrip,Veracruz,Queretaro,22000.0,33000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Fisa,Roundtrip,Veracruz,Ensenada,70000.0,80000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Fisa,Roundtrip,Veracruz,Siloa,21000.0,26000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Fisa,Roundtrip,Veracruz,Cuernavaca,24500.0,27000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Elola,Roundtrip,Veracruz,CDMX,18000.0,25000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Elola,Roundtrip,Veracruz,Puebla,15000.0,20000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Elola,Roundtrip,Veracruz,Monterrey,53000.0,65000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Elola,Roundtrip,Veracruz,Guadalajara,40000.0,50000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Elola,Roundtrip,Veracruz,Queretaro,21000.0,32000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Elola,Roundtrip,Veracruz,Ensenada,70000.0,80000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Elola,Roundtrip,Veracruz,Siloa,25000.0,30000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
Elola,Roundtrip,Veracruz,Cuernavaca,22000.0,24000.0,8.0,"Piastas incluidas,No incluye manniobras en puertos",31-diciembre-2020,
